Date,CH_CUM,CH
06/03/2020,208,
07/03/2020,263,55
08/03/2020,328,65
09/03/2020,376,48
10/03/2020,505,129
11/03/2020,640,135
12/03/2020,880,240
13/03/2020,1205,325
14/03/2020,1359,154
15/03/2020,2200,841
16/03/2020,2200,0
17/03/2020,2650,450
18/03/2020,3028,378
19/03/2020,3888,860
20/03/2020,4840,952
21/03/2020,6113,1273
22/03/2020,7014,901
23/03/2020,8060,1046
24/03/2020,8836,776
25/03/2020,9765,929
26/03/2020,10714,949
27/03/2020,12161,1447
28/03/2020,13213,1052
29/03/2020,14336,1123
30/03/2020,15475,1139
31/03/2020,16176,701
01/04/2020,17139,963
02/04/2020,18267,1128
03/04/2020,19303,1036
04/04/2020,20278,975
05/04/2020,21100,822
06/04/2020,21652,552
07/04/2020,22242,590
08/04/2020,22789,547
09/04/2020,23574,785
10/04/2020,24308,734
11/04/2020,24900,592
12/04/2020,25300,400
13/04/2020,25580,280
14/04/2020,25834,254
15/04/2020,26336,502
16/04/2020,26732,396
17/04/2020,27078,346
18/04/2020,27404,326
19/04/2020,27740,336
20/04/2020,27944,204
21/04/2020,28063,119
22/04/2020,28268,205
23/04/2020,28496,228
24/04/2020,28677,181
25/04/2020,28894,217
26/04/2020,29061,167
27/04/2020,29164,103
28/04/2020,29264,100
29/04/2020,29407,143
30/04/2020,29586,179
